Source,Target,Weight,Type
NAME:AYAZI|S,NAME:TAGHIZADEH|MR,1,undirected
NAME:AYAZI|S,NAME:ZAMANI|B,1,undirected
NAME:AYAZI|S,ORCID:0000-0001-5868-8053,1,undirected
NAME:AYAZI|S,ORCID:0000-0002-2448-6581,1,undirected
NAME:AYAZI|S,ORCID:0000-0002-2510-5971,1,undirected
NAME:AYAZI|S,ORCID:0000-0002-2724-4027,1,undirected
NAME:AYAZI|S,ORCID:0000-0002-3002-6178,1,undirected
NAME:AYAZI|S,ORCID:0000-0002-3126-4020,1,undirected
NAME:AYAZI|S,ORCID:0000-0002-5078-5649,1,undirected
NAME:AYAZI|S,ORCID:0000-0002-5722-2988,1,undirected
NAME:AYAZI|S,ORCID:0000-0002-8273-7801,1,undirected
NAME:AYAZI|S,ORCID:0000-0002-9018-2703,1,undirected
NAME:AYAZI|S,ORCID:0000-0002-9416-2806,1,undirected
NAME:AYAZI|S,ORCID:0000-0003-0639-8219,1,undirected
NAME:AYAZI|S,ORCID:0000-0003-0882-8681,1,undirected
NAME:AYAZI|S,ORCID:0000-0003-1009-4197,1,undirected
NAME:AYAZI|S,ORCID:0000-0003-1450-3875,1,undirected
NAME:AYAZI|S,ORCID:0000-0003-3083-6119,1,undirected
NAME:AZIS|Y,ORCID:0000-0002-0131-6053,1,undirected
NAME:AZIS|Y,ORCID:0000-0002-1087-7952,1,undirected
NAME:AZIS|Y,ORCID:0000-0002-4093-7581,1,undirected
NAME:AZIZI|S,OA:A5039939516,1,undirected
NAME:AZIZI|S,OA:A5045598806,1,undirected
NAME:AZIZI|S,ORCID:0000-0002-2050-9985,1,undirected
NAME:AZIZ|A,NAME:RAZA|MH,1,undirected
NAME:AZIZ|A,NAME:WASEEM|SN,1,undirected
NAME:A|AK,NAME:MEXON|J,1,undirected
NAME:BABAZADEH|H,ORCID:0000-0002-4020-4935,1,undirected
NAME:BABAZADEH|H,ORCID:0000-0002-5357-5639,1,undirected
"NAME:BACHTIAR, SIMAMORA H",NAME:BACHTIAR|SH,1,undirected
"NAME:BACHTIAR, SIMAMORA H","NAME:HARTIWI, PRABOWO",1,undirected
"NAME:BACHTIAR, SIMAMORA H","NAME:NOOR, HAZLINA AHMAD",1,undirected
"NAME:BACHTIAR, SIMAMORA H",NAME:NOOR|HA,1,undirected
"NAME:BACHTIAR, SIMAMORA H",NAME:PRABOWO|H,1,undirected
"NAME:BACHTIAR, SIMAMORA H","NAME:RIDHO, BRAMULYA IKHSAN",1,undirected
"NAME:BACHTIAR, SIMAMORA H",NAME:RIDHO|BI,1,undirected
"NAME:BACHTIAR, SIMAMORA H",NAME:SARI|SA,1,undirected
"NAME:BACHTIAR, SIMAMORA H","NAME:SYNTHIA, ATAS SARI",1,undirected
"NAME:BACHTIAR, SIMAMORA H",ORCID:0000-0003-4578-6281,1,undirected
NAME:BACHTIAR|SH,"NAME:HARTIWI, PRABOWO",1,undirected
NAME:BACHTIAR|SH,"NAME:NOOR, HAZLINA AHMAD",1,undirected
NAME:BACHTIAR|SH,NAME:NOOR|HA,1,undirected
NAME:BACHTIAR|SH,NAME:PRABOWO|H,1,undirected
NAME:BACHTIAR|SH,"NAME:RIDHO, BRAMULYA IKHSAN",1,undirected
NAME:BACHTIAR|SH,NAME:RIDHO|BI,1,undirected
NAME:BACHTIAR|SH,NAME:SARI|SA,1,undirected
NAME:BACHTIAR|SH,"NAME:SYNTHIA, ATAS SARI",1,undirected
NAME:BACHTIAR|SH,ORCID:0000-0003-4578-6281,1,undirected
NAME:BADWELAN|A,NAME:ELGAWAD|AEEA,1,undirected
NAME:BADWELAN|A,NAME:SYARIF|U,1,undirected
NAME:BADWELAN|A,ORCID:0000-0001-7343-9098,1,undirected
NAME:BADWELAN|A,ORCID:0000-0002-2355-3084,1,undirected
NAME:BADWELAN|A,ORCID:0000-0003-0461-3739,1,undirected
NAME:BADWELAN|A,ORCID:0000-0003-2526-0928,1,undirected
NAME:BAHRAMI|H,ORCID:0000-0001-8133-0316,1,undirected
NAME:BAIN|JS,NAME:QUALLS|PD,1,undirected
NAME:BAKHSHI|H,NAME:DAVIES|JD,1,undirected
NAME:BAKHSHI|H,NAME:FINNIS|A,1,undirected
NAME:BAKHSHI|H,ORCID:0000-0002-0643-9925,1,undirected
NAME:BAKHSHI|H,ORCID:0000-0002-1996-2109,1,undirected
NAME:BAKHSHI|H,ORCID:0000-0002-4962-9526,1,undirected
NAME:BAKHSHI|H,ORCID:0000-0003-0907-5132,1,undirected
NAME:BAKHSH|MM,NAME:MANJIRI|H,1,undirected
NAME:BAKHSH|MM,"NAME:POOL, MORTEZA KHAZAEI",1,undirected
NAME:BAKHSH|MM,NAME:POOL|AK,1,undirected
NAME:BAKOUROS|I,ORCID:0000-0001-8997-2292,1,undirected
NAME:BAKOUROS|I,ORCID:0009-0000-1809-2191,1,undirected
NAME:BALAGUER|A,NAME:HANSELL|D,2,undirected
NAME:BALAGUER|A,ORCID:0000-0001-7769-3325,2,undirected
NAME:BALAGUER|A,ORCID:0000-0002-7638-5897,2,undirected
NAME:BALL|S,OA:A5031580306,1,undirected
NAME:BALL|S,ORCID:0000-0002-8099-4871,1,undirected
NAME:BAMFORD|CE,ORCID:0000-0001-5675-2226,1,undirected
