OriginalPersonID,GlobalPersonID,AuthorFullName,Orcid,OpenAlexAuthorIDs
ORCID:0000-0001-5127-6419,ORCID:0000-0001-5127-6419,AKHILESH KUMAR,https://orcid.org/0000-0001-5127-6419,
ORCID:0000-0001-5128-7636,ORCID:0000-0001-5128-7636,TOYAH L. MILLER,https://orcid.org/0000-0001-5128-7636,
ORCID:0000-0001-5129-1133,ORCID:0000-0001-5129-1133,"NORITA, AHMAD",https://orcid.org/0000-0001-5129-1133,https://openalex.org/A5061643029
ORCID:0000-0001-5133-7592,ORCID:0000-0001-5133-7592,"LEONARDO, CORBO",https://orcid.org/0000-0001-5133-7592,https://openalex.org/A5091213695
ORCID:0000-0001-5134-4004,ORCID:0000-0001-5134-4004,"NOELLE, AARTS",https://orcid.org/0000-0001-5134-4004,https://openalex.org/A5071563921
ORCID:0000-0001-5134-5525,ORCID:0000-0001-5134-5525,"STRATOS, RAMOGLOU",https://orcid.org/0000-0001-5134-5525,https://openalex.org/A5037387283
ORCID:0000-0001-5135-3402,ORCID:0000-0001-5135-3402,"JEROEN, JOLY",https://orcid.org/0000-0001-5135-3402,https://openalex.org/A5040624768
ORCID:0000-0001-5144-2114,ORCID:0000-0001-5144-2114,"ASMAI, ISHAK",https://orcid.org/0000-0001-5144-2114,https://openalex.org/A5080508586
ORCID:0000-0001-5144-7302,ORCID:0000-0001-5144-7302,"RICHARD, MITCHELL",https://orcid.org/0000-0001-5144-7302,https://openalex.org/A5005973272
ORCID:0000-0001-5145-2179,ORCID:0000-0001-5145-2179,"JASMINA, BERBEGAL‐MIRABENT",https://orcid.org/0000-0001-5145-2179,https://openalex.org/A5039726696
ORCID:0000-0001-5148-9297,ORCID:0000-0001-5148-9297,ROMANO DYERSON,https://orcid.org/0000-0001-5148-9297,
ORCID:0000-0001-5149-3835,ORCID:0000-0001-5149-3835,DAVID PEREZ PERALES,https://orcid.org/0000-0001-5149-3835,
ORCID:0000-0001-5151-3218,ORCID:0000-0001-5151-3218,"FRANCIS, KASEKENDE",https://orcid.org/0000-0001-5151-3218,https://openalex.org/A5091238385
ORCID:0000-0001-5151-697X,ORCID:0000-0001-5151-697X,"LORRAINE, UHLANER",https://orcid.org/0000-0001-5151-697X,https://openalex.org/A5028647043
ORCID:0000-0001-5156-9844,ORCID:0000-0001-5156-9844,"JUNAID, AFTAB",https://orcid.org/0000-0001-5156-9844,https://openalex.org/A5053453576
ORCID:0000-0001-5158-1659,ORCID:0000-0001-5158-1659,"FARID, ULLAH",https://orcid.org/0000-0001-5158-1659,https://openalex.org/A5083221391
ORCID:0000-0001-5158-290X,ORCID:0000-0001-5158-290X,"LILIAN, OTAYE‐EBEDE",https://orcid.org/0000-0001-5158-290X,https://openalex.org/A5082792079
ORCID:0000-0001-5159-7167,ORCID:0000-0001-5159-7167,"DAVIDE, CALANDRA",https://orcid.org/0000-0001-5159-7167,https://openalex.org/A5046170136
ORCID:0000-0001-5162-0531,ORCID:0000-0001-5162-0531,"LETICIA, SUAREZ ALVAREZ",https://orcid.org/0000-0001-5162-0531,https://openalex.org/A5020881235
ORCID:0000-0001-5164-5819,ORCID:0000-0001-5164-5819,"NAJAH, SALAMAH",https://orcid.org/0000-0001-5164-5819,https://openalex.org/A5074698470
ORCID:0000-0001-5166-7241,ORCID:0000-0001-5166-7241,"AUDREY, LAING",https://orcid.org/0000-0001-5166-7241,https://openalex.org/A5020694971
ORCID:0000-0001-5167-5145,ORCID:0000-0001-5167-5145,CLAUDIA CECILIA PENA MONTOYA,https://orcid.org/0000-0001-5167-5145,
ORCID:0000-0001-5168-8966,ORCID:0000-0001-5168-8966,"BEATE, CESINGER",https://orcid.org/0000-0001-5168-8966,https://openalex.org/A5011576645
ORCID:0000-0001-5169-3896,ORCID:0000-0001-5169-3896,"ABRAR, ALI SAIYED",https://orcid.org/0000-0001-5169-3896,https://openalex.org/A5075678216
ORCID:0000-0001-5169-5429,ORCID:0000-0001-5169-5429,"MAHMOUD, MAHAMI‐OSKOUEI",https://orcid.org/0000-0001-5169-5429,https://openalex.org/A5073158218
ORCID:0000-0001-5172-4453,ORCID:0000-0001-5172-4453,"CHRIS, SIMMS",https://orcid.org/0000-0001-5172-4453,https://openalex.org/A5016188874
ORCID:0000-0001-5174-573X,ORCID:0000-0001-5174-573X,"ABDUL, KADIR OTHMAN",https://orcid.org/0000-0001-5174-573X,https://openalex.org/A5049076095
ORCID:0000-0001-5175-9760,ORCID:0000-0001-5175-9760,FENG SHI,https://orcid.org/0000-0001-5175-9760,
ORCID:0000-0001-5176-8317,ORCID:0000-0001-5176-8317,"MARK, N. K. SAUNDERS",https://orcid.org/0000-0001-5176-8317,https://openalex.org/A5054244780
ORCID:0000-0001-5177-8072,ORCID:0000-0001-5177-8072,"WONJOON, KIM",https://orcid.org/0000-0001-5177-8072,https://openalex.org/A5038180509
ORCID:0000-0001-5178-283X,ORCID:0000-0001-5178-283X,"TIFFANY, ADELAINE TAN",https://orcid.org/0000-0001-5178-283X,https://openalex.org/A5029923469
ORCID:0000-0001-5179-9869,ORCID:0000-0001-5179-9869,MOHAMMED R. YASEEN ZEEBAREE,https://orcid.org/0000-0001-5179-9869,
ORCID:0000-0001-5186-2629,ORCID:0000-0001-5186-2629,"GEORGIANA, KARADAS",https://orcid.org/0000-0001-5186-2629,https://openalex.org/A5047548197
ORCID:0000-0001-5186-9548,ORCID:0000-0001-5186-9548,MPHO SHARON MAKGEDI MAKALENG,https://orcid.org/0000-0001-5186-9548,
ORCID:0000-0001-5189-0478,ORCID:0000-0001-5189-0478,"GEORGE, TESAR",https://orcid.org/0000-0001-5189-0478,https://openalex.org/A5041620816
ORCID:0000-0001-5190-1309,ORCID:0000-0001-5190-1309,"SEBASTIAN, TILLMANNS",https://orcid.org/0000-0001-5190-1309,https://openalex.org/A5091726352
ORCID:0000-0001-5190-2088,ORCID:0000-0001-5190-2088,"YUE, SONG",https://orcid.org/0000-0001-5190-2088,https://openalex.org/A5035748438
ORCID:0000-0001-5194-5897,ORCID:0000-0001-5194-5897,"JOAN, FONTRODONA",https://orcid.org/0000-0001-5194-5897,https://openalex.org/A5015911890
ORCID:0000-0001-5195-7900,ORCID:0000-0001-5195-7900,ALLAN WIGFIELD,https://orcid.org/0000-0001-5195-7900,
ORCID:0000-0001-5197-8306,ORCID:0000-0001-5197-8306,"NAY, CHI KHIN KHIN OO",https://orcid.org/0000-0001-5197-8306,https://openalex.org/A5078881565
ORCID:0000-0001-5200-1476,ORCID:0000-0001-5200-1476,"SATISH, KUMAR",https://orcid.org/0000-0001-5200-1476,https://openalex.org/A5100777365
ORCID:0000-0001-5202-8206,ORCID:0000-0001-5202-8206,"LYN, ROBINSON",https://orcid.org/0000-0001-5202-8206,https://openalex.org/A5032509580
ORCID:0000-0001-5204-1187,ORCID:0000-0001-5204-1187,LIZ BREEN,https://orcid.org/0000-0001-5204-1187,
ORCID:0000-0001-5205-7808,ORCID:0000-0001-5205-7808,V. RAMACHANDRAN,https://orcid.org/0000-0001-5205-7808,
ORCID:0000-0001-5217-713X,ORCID:0000-0001-5217-713X,"MARY, HOLMES",https://orcid.org/0000-0001-5217-713X,https://openalex.org/A5113994484
ORCID:0000-0001-5221-0761,ORCID:0000-0001-5221-0761,"NEERAJ, BHARADWAJ",https://orcid.org/0000-0001-5221-0761,https://openalex.org/A5003370355
ORCID:0000-0001-5222-5218,ORCID:0000-0001-5222-5218,"ANDREA, CONCHADO PEIRO",https://orcid.org/0000-0001-5222-5218,https://openalex.org/A5027711809
ORCID:0000-0001-5223-5678,ORCID:0000-0001-5223-5678,"ARDIANUS, LAURENS PAULUS",https://orcid.org/0000-0001-5223-5678,https://openalex.org/A5063609010
ORCID:0000-0001-5225-5927,ORCID:0000-0001-5225-5927,"HYUKSOO, CHO",https://orcid.org/0000-0001-5225-5927,https://openalex.org/A5025733872
ORCID:0000-0001-5227-5135,ORCID:0000-0001-5227-5135,"SIMPLICE, ASONGU",https://orcid.org/0000-0001-5227-5135,https://openalex.org/A5028054694
ORCID:0000-0001-5228-4242,ORCID:0000-0001-5228-4242,"THEO, PAPAIOANNOU",https://orcid.org/0000-0001-5228-4242,https://openalex.org/A5016213769
ORCID:0000-0001-5235-4773,ORCID:0000-0001-5235-4773,"SHI‐ZHENG, HUANG",https://orcid.org/0000-0001-5235-4773,https://openalex.org/A5013051277
