SR,SR_ref
"MARTIN DM, 2009, QUAL MARK RES","HOY F, 2008, J SMALL BUS MANAGE"
"MARTIN DM, 2009, QUAL MARK RES","KOTLER P, 2001, A FRAMEWORK OF MARKETING MANAGEMENT"
"MARTIN DM, 2009, QUAL MARK RES","LINCOLN Y, 1985, NATURALISTIC INQUIRY"
"MARTIN DM, 2009, QUAL MARK RES","LINDLOF TR, 1995, QUALITATIVE COMMUNICATION RESEARCH METHODS"
"MARTIN DM, 2009, QUAL MARK RES","MARTIN DM, 2004, J APPL COMMUN RES"
"MARTIN DM, 2009, QUAL MARK RES","MCKENNA R, 1991, RELATIONSHIP MARKETI"
"MARTIN DM, 2009, QUAL MARK RES","MERRILEES B, 2006, QUAL MARK RES"
"MARTIN DM, 2009, QUAL MARK RES","MORRIS MH, 2002, J MARKET THEORY PRAC"
"MARTIN DM, 2009, QUAL MARK RES","PENLEY LE, 1991, J MANAGE"
"MARTIN DM, 2009, QUAL MARK RES","PUTNAM LL, 1983, COMMUNICATION AND ORGANIZATIONS: AN INTERPRETIVE APPROACH"
"MARTIN DM, 2009, QUAL MARK RES","REYNOLDS PL, 2002, JOURNAL OF RESEARCH IN MARKETING ENTREPRENEURSHIP"
"MARTIN DM, 2009, QUAL MARK RES","SMILOR RW, 1997, J BUS VENTURING"
"MARTIN DM, 2009, QUAL MARK RES","STOKES D, 2000, QUALITATIVE MARKET RESEARCH: AN INTERNATIONAL JOURNAL"
"MARTIN DM, 2009, QUAL MARK RES","SUSSMAN L, 1997, BUSINESS COMMUNICATION QUARTERLY"
"MARTIN DM, 2009, QUAL MARK RES","ZONTANOS G, 2004, QUALITATIVE MARKET RESEARCH: AN INTERNATIONAL JOURNAL"
"JONES R, 2013, SERV IND J","AKGUN AE, 2004, JOURNAL OF BUSINESS STRATEGY"
"JONES R, 2013, SERV IND J","BATTISTELLA C, 2012, MANAGE DECIS"
"JONES R, 2013, SERV IND J","BERRY MMJ, 1996, TECHNOVATION"
"JONES R, 2013, SERV IND J","BETTIOL M, 2012, INT ENTREP MANAG J"
"JONES R, 2013, SERV IND J","BJERKE B, 2002, ENTREPRENEURIAL MARK"
